Timestamp,Joint,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW
0.226,Hand_Ring1,0.126839,0.943416,0.50312,-0.499378,-0.56225,-0.654214,-0.080624
0.226,Body_RightShoulder,0.107835,0.96938,0.525024,-0.291436,-0.666681,-0.610434,-0.313005
0.226,Hand_Ring3,0.091014,0.989823,0.523392,-0.190731,-0.688635,-0.54925,-0.433276
0.226,Hand_Pinky0,0.114407,0.919628,0.455259,-0.658609,-0.255924,-0.706592,0.038265
0.226,Body_RightArmLower,0.108506,0.932527,0.498561,-0.506172,-0.520524,-0.669276,-0.157844
0.226,Hand_Pinky2,0.095083,0.955163,0.514298,-0.339704,-0.588795,-0.659412,-0.321088
0.226,Body_LeftHandPalm,0.083669,0.971858,0.515715,-0.301831,-0.608337,-0.600093,-0.422744
0.226,Hand_ThumbTip,0.10195,1.016882,0.503683,-0.321542,-0.81581,0.129989,0.462782
0.226,Hand_IndexTip,0.100669,1.021145,0.508494,-0.076349,-0.750187,-0.559552,-0.343938
0.226,Hand_MiddleTip,0.086385,1.017308,0.517266,-0.133229,-0.716675,-0.571996,-0.376096
0.226,Body_LeftHandThumbDistal,0.077066,1.008126,0.515474,-0.190731,-0.688635,-0.54925,-0.433276
0.226,Body_LeftHandThumbTip,0.073641,0.991232,0.513602,-0.301831,-0.608337,-0.600093,-0.422744
0.243,Body_Start,0.132763,0.913885,0.418103,-0.734783,-0.388743,-0.535002,0.150817
0.243,Body_Hips,0.132763,0.913885,0.418103,-0.734783,-0.388743,-0.535002,0.150817
0.243,Body_SpineLower,0.133833,0.936299,0.429957,-0.597821,-0.758138,-0.06745,0.251572
0.243,Hand_Thumb1,0.129897,0.957942,0.441421,-0.37566,-0.785417,0.165326,0.463322
0.243,Body_SpineUpper,0.120537,0.982064,0.461009,-0.319097,-0.808962,0.01709,0.493423
0.243,Body_Chest,0.1101,1.000047,0.487569,-0.317822,-0.816697,0.131445,0.463377
0.243,Body_Neck,0.155144,0.972913,0.494273,-0.50709,-0.586533,-0.63113,0.022682
0.243,Body_Head,0.136795,0.994348,0.519512,-0.225443,-0.726387,-0.597902,-0.253082
0.243,Body_LeftShoulder,0.11811,1.009635,0.517132,-0.074701,-0.750145,-0.560631,-0.342632
0.243,Body_LeftScapula,0.144018,0.955772,0.503206,-0.51356,-0.579755,-0.631813,-0.030861
0.243,Body_LeftArmUpper,0.123854,0.982958,0.529479,-0.245698,-0.726243,-0.576615,-0.282345
0.243,Body_LeftArmLower,0.10406,1.001725,0.525993,-0.143602,-0.716279,-0.576537,-0.365962
0.243,Hand_Ring1,0.127419,0.943309,0.503481,-0.494965,-0.568248,-0.651867,-0.084698
0.243,Body_RightShoulder,0.108126,0.969503,0.524852,-0.29471,-0.667063,-0.611371,-0.307245
0.243,Hand_Ring3,0.091217,0.989897,0.523538,-0.202386,-0.6879,-0.555365,-0.421193
0.243,Hand_Pinky0,0.114779,0.919322,0.455774,-0.660323,-0.257843,-0.704272,0.038631
0.243,Body_RightArmLower,0.109087,0.93236,0.499062,-0.502061,-0.528626,-0.664408,-0.164472
0.243,Hand_Pinky2,0.095541,0.955338,0.514187,-0.341759,-0.592073,-0.657435,-0.316907
0.243,Body_LeftHandPalm,0.084075,0.971991,0.515689,-0.310536,-0.608856,-0.602902,-0.411549
0.243,Hand_ThumbTip,0.102024,1.016509,0.503932,-0.317822,-0.816697,0.131445,0.463377
0.243,Hand_IndexTip,0.100824,1.020847,0.508481,-0.074701,-0.750145,-0.560631,-0.342632
0.243,Hand_MiddleTip,0.086385,1.017478,0.518133,-0.143602,-0.716279,-0.576537,-0.365962
0.243,Body_LeftHandThumbDistal,0.077029,1.008348,0.516433,-0.202386,-0.6879,-0.555365,-0.421193
0.243,Body_LeftHandThumbTip,0.073898,0.991339,0.514135,-0.310536,-0.608856,-0.602902,-0.411549
0.256,Body_Start,0.132987,0.913881,0.418231,-0.735299,-0.387937,-0.534651,0.15162
